,,,,,,,,,SIMULATOR_DOMAINS:32
,,,,,,,,,SIMULATOR_REGION_SIZE:8
,,,,,,,,,SIMULATOR_MIN_REGION_SIZE:4
,,,,,,,,,SIMULATOR_RUN_NAME:ex1-run90
,,,,,,,,,SIMULATOR_MAX_REGION_SIZE:12
,,,,,,,,,SIMULATOR_ROUTING:FIRST_FINGERPRINT_7
,,,,,,,,,SIMULATOR_BIT_MASK:10
,,,,,,,,,SIMULATOR_REGION_ALGO:CONTENT-DEFINED
,,,,,,,,,SIMULATOR_TRACES_LISTS:fslhomes_2011-8kb-only_014018019
,,,,,,,,,SIMULATOR_BACKEND_IPS:10.131.2.151,10.131.2.152,10.129.3.153,10.128.4.215,10.131.2.149,10.129.3.152,10.129.5.90,10.128.4.216
,,,,,,,,,SIMULATOR_MODE:RUN
,,,,,,,,,START_TIME:1638577746.22331
,,,,,,,,,STOP_TIME:1638578446.4350774
omain, region bytes, non-dupe bytes, region fp count, non-dupe fp count, route time, response time, user, hash date
151,12576000,5563981,2822,1281,5.17E-06,5.27E-02,014,2011-09-16
62,9298850,4336873,2513,1188,4.89E-06,5.03E-02,014,2011-09-16
63,6777364,3047654,1548,745,4.54E-06,5.90E-02,014,2011-09-16
147,7870369,3531364,1842,851,4.62E-06,3.86E-02,014,2011-09-16
231,6573859,3201232,1376,723,5.68E-06,3.53E-02,014,2011-09-16
142,12582882,5784645,3739,1556,7.04E-06,6.61E-02,014,2011-09-16
43,7506480,3507747,4384,1341,4.59E-06,6.81E-02,014,2011-09-16
244,7755701,3479860,5217,1454,5.21E-06,1.05E-01,014,2011-09-16
26,7557041,3420013,4581,1297,4.64E-06,7.46E-02,014,2011-09-16
109,4683302,2604887,2427,1002,4.91E-06,1.03E-01,014,2011-09-16
57,5099372,2586028,3074,936,6.16E-06,4.97E-02,014,2011-09-16
61,12580219,6017919,4659,1837,1.12E-05,1.35E-01,014,2011-09-16
186,7081363,3718737,1490,804,4.90E-06,3.91E-02,014,2011-09-16
195,12578866,6063364,2192,1154,1.03E-05,3.45E-02,014,2011-09-16
114,8626053,4588776,3746,1456,8.94E-06,1.08E-01,014,2011-09-16
246,4777634,2061714,2652,983,1.33E-05,6.62E-02,014,2011-09-16
60,6971336,2696791,2693,1036,9.67E-06,5.56E-02,014,2011-09-16
57,6097714,2466923,2995,1112,9.09E-06,5.85E-02,014,2011-09-16
217,4218927,2024382,2571,1057,7.36E-06,3.69E-02,014,2011-09-16
22,12580879,6643419,1948,1235,4.42E-06,5.23E-02,014,2011-09-16
137,12577647,7276374,2037,1409,8.12E-06,5.45E-02,014,2011-09-16
153,7062472,5803934,1651,1404,4.12E-06,4.73E-02,014,2011-09-16
31,12340973,7952754,2446,1529,4.91E-06,6.40E-02,014,2011-09-16
146,12571009,7162742,2580,1278,4.99E-06,6.80E-02,014,2011-09-16
22,12571804,7711986,1503,1091,4.20E-06,4.01E-02,014,2011-09-16
129,4349922,2291413,460,311,8.20E-06,1.59E-02,014,2011-09-16
163,5308759,3031959,665,458,8.89E-06,3.61E-02,014,2011-09-16
69,4692374,2927624,571,439,4.48E-06,2.13E-02,014,2011-09-16
235,11924017,6116646,1239,839,5.56E-06,4.51E-02,014,2011-09-16
145,12577850,7405293,1452,1073,1.22E-05,4.16E-02,014,2011-09-16
108,9389626,5672990,1048,783,6.53E-06,3.92E-02,014,2011-09-16
208,6790912,4454032,837,657,6.40E-06,1.78E-02,014,2011-09-16
46,12581063,7444118,1430,1035,4.83E-06,3.95E-02,014,2011-09-16
134,4864806,3188262,552,440,5.55E-06,1.87E-02,014,2011-09-16
165,12582602,7589931,1413,1058,9.92E-06,5.13E-02,014,2011-09-16
194,4782762,3296884,554,456,4.99E-06,1.22E-02,014,2011-09-16
208,12578765,6909722,1352,966,4.32E-06,2.56E-02,014,2011-09-16
148,5555544,3282194,605,448,6.84E-06,2.04E-02,014,2011-09-16
27,6707725,4118024,738,559,7.03E-06,2.64E-02,014,2011-09-16
124,5325993,3494226,639,500,7.70E-06,2.55E-02,014,2011-09-16
46,12580950,939454,1375,114,4.47E-06,1.75E-02,014,2011-09-16
16,12568990,7596915,1375,1026,7.04E-06,3.82E-02,014,2011-09-16
203,9394711,5831086,1044,800,4.60E-06,2.06E-02,014,2011-09-16
208,12573817,7000436,1459,984,4.32E-06,2.54E-02,014,2011-09-16
227,9729942,5396273,1025,742,5.33E-06,3.80E-02,014,2011-09-16
35,12573540,6860247,1399,930,6.16E-06,4.09E-02,014,2011-09-16
142,12286160,7209907,1359,978,1.17E-05,4.43E-02,014,2011-09-16
186,12580688,8714460,1489,1204,6.62E-06,5.40E-02,014,2011-09-16
101,10826161,6054876,1147,832,6.69E-06,4.33E-02,014,2011-09-16
35,12573540,954141,1400,105,8.11E-06,1.89E-02,014,2011-09-16
142,12286140,978904,1362,120,1.03E-05,1.91E-02,014,2011-09-16
186,7194609,3145591,874,465,7.53E-06,2.42E-02,014,2011-09-16
48,6626899,3683528,736,513,9.64E-06,2.04E-02,014,2011-09-16
46,12582595,7290777,1708,1097,8.62E-06,4.49E-02,014,2011-09-16
102,12571390,6654648,1807,1027,7.93E-06,7.42E-02,014,2011-09-16
117,12572457,7848219,1480,1111,1.78E-05,7.72E-02,014,2011-09-16
62,5661665,3821364,661,532,1.13E-05,2.17E-02,014,2011-09-16
202,12580419,8079272,1442,1120,1.55E-05,3.10E-02,014,2011-09-16
207,12576442,6617264,1400,925,9.69E-06,2.96E-02,014,2011-09-16
83,12570862,7527733,1497,1080,7.11E-06,5.30E-02,014,2011-09-16
72,8166190,4180857,875,604,1.07E-05,6.48E-02,014,2011-09-16
145,9819676,2572942,1140,359,5.54E-06,2.34E-02,014,2011-09-16
101,12568028,7888192,1390,1070,7.39E-06,5.96E-02,014,2011-09-16
87,12581933,7950431,1409,1083,7.22E-06,4.92E-02,014,2011-09-16
110,12581233,7724214,1391,1059,8.79E-06,5.22E-02,014,2011-09-16
70,4618245,3159703,527,435,8.10E-06,2.21E-02,014,2011-09-16
216,10365156,6981690,1194,950,4.29E-06,2.35E-02,014,2011-09-16
133,4235834,2909789,490,401,4.50E-06,1.60E-02,014,2011-09-16
99,7200647,4689630,816,645,3.98E-06,3.12E-02,014,2011-09-16
249,12582452,8080188,1446,1123,5.91E-06,5.21E-02,014,2011-09-16
88,11791901,6771031,1288,949,9.58E-06,4.57E-02,014,2011-09-16
101,12570368,407648,1367,50,1.04E-05,2.02E-02,014,2011-09-16
87,12582620,455719,1383,56,1.37E-05,2.12E-02,014,2011-09-16
193,12578593,7478704,1362,1018,1.00E-05,4.04E-02,014,2011-09-16
57,4361088,2898916,487,395,9.43E-06,1.70E-02,014,2011-09-16
216,10367436,464499,1172,49,4.61E-06,1.11E-02,014,2011-09-16
133,4236734,154834,480,17,4.87E-06,7.26E-03,014,2011-09-16
99,7202087,258296,799,26,4.51E-06,1.18E-02,014,2011-09-16
249,12577075,423094,1424,50,5.76E-06,2.09E-02,014,2011-09-16
73,12571637,8368382,1459,1155,8.75E-06,5.22E-02,014,2011-09-16
105,12580614,7466142,1346,997,5.31E-06,5.30E-02,014,2011-09-16
167,6236177,4151219,738,580,8.06E-06,2.68E-02,014,2011-09-16
44,12582789,8059715,1452,1129,4.49E-06,4.96E-02,014,2011-09-16
136,9360834,5819031,1036,802,7.82E-06,3.05E-02,014,2011-09-16
167,12577016,8256257,1445,1107,9.91E-06,4.97E-02,014,2011-09-16
17,12579351,8274018,1492,1177,8.97E-06,4.16E-02,014,2011-09-16
222,12582346,7677075,1396,1056,5.98E-06,3.15E-02,014,2011-09-16
227,12575388,7485966,1355,989,5.25E-06,4.80E-02,014,2011-09-16
143,9701756,6020034,1091,820,5.02E-06,3.04E-02,014,2011-09-16
51,9960322,6467276,1162,917,5.67E-06,3.49E-02,014,2011-09-16
196,12451342,7214158,1309,961,8.10E-06,2.60E-02,014,2011-09-16
255,12568532,7999679,1398,1045,4.49E-06,5.03E-02,014,2011-09-16
18,6021613,3926917,679,542,6.27E-06,2.16E-02,014,2011-09-16
51,12579742,4536471,1471,626,4.28E-06,3.50E-02,014,2011-09-16
22,5583866,3512241,647,510,9.60E-06,2.37E-02,014,2011-09-16
135,8707464,5250207,939,702,6.17E-06,2.84E-02,014,2011-09-16
72,12573709,8096773,1457,1082,5.20E-06,5.47E-02,014,2011-09-16
248,5411944,3745540,646,535,1.78E-05,2.45E-02,014,2011-09-16
210,8970699,5853303,1022,813,5.56E-06,2.13E-02,014,2011-09-16
110,12571751,7364449,1346,988,6.52E-06,5.13E-02,014,2011-09-16
120,5768190,3602999,616,478,8.97E-06,2.53E-02,014,2011-09-16
233,12576115,8106188,1442,1135,8.95E-06,5.29E-02,014,2011-09-16
115,12582058,7991540,1398,1086,8.36E-06,5.30E-02,014,2011-09-16
201,12582478,7002648,1319,935,6.52E-06,2.70E-02,014,2011-09-16
216,7136720,4111825,768,564,9.18E-06,1.62E-02,014,2011-09-16
25,4203927,2996663,512,433,7.18E-06,1.66E-02,014,2011-09-16
241,12574538,8181304,1411,1110,4.30E-06,5.33E-02,014,2011-09-16
202,12579804,6716634,1287,890,6.83E-06,3.03E-02,014,2011-09-16
65,8964111,5121005,962,702,9.96E-06,4.39E-02,014,2011-09-16
25,4203910,29570,512,2,6.27E-06,8.01E-03,014,2011-09-16
241,12569080,6886032,1470,968,4.49E-06,4.73E-02,014,2011-09-16
15,12569450,7753973,1411,1078,9.44E-06,4.32E-02,014,2011-09-16
204,9999263,6589765,1206,920,8.37E-06,2.73E-02,014,2011-09-16
135,7760152,5236700,917,746,5.89E-06,2.81E-02,014,2011-09-16
48,9969495,1683032,1085,216,7.46E-06,1.92E-02,014,2011-09-16
248,12579657,7836020,2507,1348,8.32E-06,8.86E-02,014,2011-09-16
212,12573337,7845839,1534,1133,8.07E-06,3.02E-02,014,2011-09-16
178,12576866,7217861,1441,1013,5.85E-06,5.02E-02,014,2011-09-16
194,12582707,7008649,1498,1036,7.14E-06,3.23E-02,014,2011-09-16
198,10916245,5871244,1206,859,5.29E-06,2.58E-02,014,2011-09-16
101,4381106,1819191,509,262,4.48E-06,1.60E-02,014,2011-09-16
50,5552117,3513226,638,505,4.10E-06,2.02E-02,014,2011-09-16
20,5706988,3971627,684,572,4.54E-06,2.14E-02,014,2011-09-16
80,8540681,4549291,897,639,4.85E-06,3.30E-02,014,2011-09-16
101,4384046,442081,473,49,7.55E-06,9.14E-03,014,2011-09-16
50,7398020,2007191,783,269,4.03E-06,1.87E-02,014,2011-09-16
20,12579762,6378957,1367,839,5.76E-06,3.88E-02,014,2011-09-16
249,5465978,3372788,611,475,8.78E-06,2.45E-02,014,2011-09-16
167,12580280,7156772,1425,988,1.40E-05,4.68E-02,014,2011-09-16
225,10044506,5905325,1091,810,9.91E-06,4.82E-02,014,2011-09-16
196,12576910,116407,1322,14,8.98E-06,1.32E-02,014,2011-09-16
221,4532587,2908867,512,404,6.66E-06,1.23E-02,014,2011-09-16
196,12573677,69446,1323,9,4.68E-06,1.37E-02,014,2011-09-16
62,8256541,5612730,945,774,5.99E-06,2.89E-02,014,2011-09-16
128,4484485,2785315,522,411,4.30E-06,1.68E-02,014,2011-09-16
135,12580112,5631789,1366,778,7.01E-06,3.34E-02,014,2011-09-16
141,9988366,6018255,1085,820,5.10E-06,4.94E-02,014,2011-09-16
228,12579513,7950503,1377,1065,9.08E-06,5.13E-02,014,2011-09-16
187,12577193,7960046,1388,1082,9.14E-06,5.10E-02,014,2011-09-16
18,12579982,7443629,1402,1024,8.03E-06,4.15E-02,014,2011-09-16
130,4384948,2909947,512,417,5.49E-06,1.85E-02,014,2011-09-16
207,7522410,4187290,785,567,4.80E-06,1.86E-02,014,2011-09-16
48,9969495,1160911,1086,142,4.66E-06,1.78E-02,014,2011-09-16
248,6038768,2546462,912,418,8.20E-06,2.90E-02,014,2011-09-16
201,4570071,2998579,853,494,1.16E-05,3.92E-02,014,2011-09-16
146,4917820,2588184,622,360,8.95E-06,1.89E-02,014,2011-09-16
155,4280581,3055567,1132,549,8.93E-06,3.34E-02,014,2011-09-16
14,5932263,3265227,736,484,5.12E-06,2.28E-02,014,2011-09-16
248,6695712,2600765,908,402,5.52E-06,2.75E-02,014,2011-09-16
248,6985072,2737921,1025,470,6.64E-06,3.03E-02,014,2011-09-16
187,8524398,3217511,1132,520,6.80E-06,3.24E-02,014,2011-09-16
50,4199400,2527302,606,421,9.27E-06,2.08E-02,014,2011-09-16
48,5779667,3330881,857,533,7.11E-06,2.56E-02,014,2011-09-16
163,10178125,5534567,1517,886,7.27E-06,5.39E-02,014,2011-09-16
248,6695712,415699,908,48,8.10E-06,1.44E-02,014,2011-09-16
248,6984736,112134,1026,12,7.18E-06,1.39E-02,014,2011-09-16
187,8524398,295253,1133,37,9.91E-06,1.79E-02,014,2011-09-16
50,4199400,479953,605,61,7.53E-06,1.03E-02,014,2011-09-16
48,11667332,2649617,1635,418,6.94E-06,2.94E-02,014,2011-09-16
248,6695712,393814,907,45,6.16E-06,1.40E-02,014,2011-09-16
248,6984736,63260,1025,6,6.84E-06,1.36E-02,014,2011-09-16
187,8524398,311637,1133,38,4.84E-06,1.68E-02,014,2011-09-16
50,4199400,463569,605,60,4.95E-06,1.08E-02,014,2011-09-16
48,4984046,1551059,655,217,4.76E-06,1.50E-02,014,2011-09-16
232,9133575,4932178,908,647,6.72E-06,3.51E-02,014,2011-09-16
240,11947142,7145031,1262,951,6.16E-06,7.79E-02,014,2011-09-16
246,11591411,5722643,1108,732,6.14E-06,8.03E-02,014,2011-09-16
46,12570479,7174233,1297,942,9.27E-06,4.10E-02,014,2011-09-16
79,7731584,4330126,793,573,4.82E-06,2.91E-02,014,2011-09-16
53,12573710,6686396,1255,874,6.78E-06,3.97E-02,014,2011-09-16
43,5329426,2541466,508,334,5.06E-06,1.72E-02,014,2011-09-16
207,7678432,4074305,799,568,7.57E-06,1.82E-02,014,2011-09-16
121,6157027,3477823,614,448,5.44E-06,2.48E-02,014,2011-09-16
226,11076139,6445498,1148,842,8.18E-06,4.28E-02,014,2011-09-16
25,12569775,6555604,1232,845,1.28E-05,4.00E-02,014,2011-09-16
205,12574042,7201684,1280,931,8.37E-06,2.82E-02,014,2011-09-16
53,12577625,6943092,1276,908,9.09E-06,4.08E-02,014,2011-09-16
66,12573025,6087613,1223,803,9.21E-06,4.32E-02,014,2011-09-16
86,12577494,6803567,1316,934,1.41E-05,5.67E-02,014,2011-09-16
174,5321635,3349435,578,452,9.93E-06,2.48E-02,014,2011-09-16
194,7034108,3182300,788,463,8.71E-06,1.76E-02,014,2011-09-16
211,12581219,7784535,1436,1105,7.15E-06,3.16E-02,014,2011-09-16
213,12573006,5805564,1405,792,8.08E-06,2.62E-02,014,2011-09-16
134,12581963,5987838,1763,950,4.61E-06,5.05E-02,014,2011-09-16
195,6372144,4126673,1149,716,9.74E-06,2.34E-02,014,2011-09-16
15,12580557,6916026,1968,1013,4.39E-06,5.43E-02,014,2011-09-16
79,12567190,7589300,2136,1222,7.80E-06,6.68E-02,014,2011-09-16
252,10007221,6500204,1293,980,5.89E-06,4.92E-02,014,2011-09-16
160,8194868,5357066,938,748,8.77E-06,3.38E-02,014,2011-09-16
98,12582599,8243228,1414,1122,5.46E-06,5.29E-02,014,2011-09-16
195,12573607,8268310,1490,1171,8.75E-06,3.20E-02,014,2011-09-16
146,12580496,8248675,1450,1143,7.92E-06,4.92E-02,014,2011-09-16
135,8179532,5121026,906,703,1.35E-05,5.90E-02,014,2011-09-16
73,7601430,4923467,939,727,9.21E-06,3.45E-02,014,2011-09-16
10,12138624,7618257,1351,1009,4.45E-06,3.92E-02,014,2011-09-16
137,4203602,2640234,492,383,4.80E-06,1.57E-02,014,2011-09-16
247,6179232,3961790,751,567,4.04E-06,2.94E-02,014,2011-09-16
52,12579735,7751476,1435,1094,4.39E-06,4.12E-02,014,2011-09-16
195,4606631,2939346,556,439,6.98E-06,1.32E-02,014,2011-09-16
109,10706755,7120252,1427,1096,8.16E-06,5.30E-02,014,2011-09-16
145,4364896,1883565,867,365,5.10E-06,2.19E-02,014,2011-09-16
145,5515999,3046357,963,515,5.02E-06,2.62E-02,014,2011-09-16
59,6011813,4166261,795,626,4.80E-06,2.47E-02,014,2011-09-16
55,7171434,4545490,796,622,4.24E-06,2.53E-02,014,2011-09-16
153,12578364,7923856,1473,1115,5.24E-06,4.40E-02,014,2011-09-16
136,4486652,2788436,523,412,4.80E-06,1.83E-02,014,2011-09-16
34,12577586,7822788,1581,1201,4.57E-06,4.81E-02,014,2011-09-16
200,11972077,7571785,1347,1042,4.46E-06,2.70E-02,014,2011-09-16
24,8853618,5696409,1013,794,9.75E-06,3.01E-02,014,2011-09-16
142,6071280,3719911,1152,687,4.21E-06,3.18E-02,014,2011-09-16
145,12571610,7430899,1611,1075,5.45E-06,4.65E-02,014,2011-09-16
194,12579792,7982484,1417,1106,4.39E-06,2.82E-02,014,2011-09-16
42,12580268,6431509,1246,852,6.51E-06,4.03E-02,014,2011-09-16
32,12574974,8242812,1464,1141,8.06E-06,7.84E-02,014,2011-09-16
121,12570201,7944958,1385,1073,1.04E-05,5.35E-02,014,2011-09-16
89,11985966,7670289,1354,1052,1.27E-05,5.06E-02,014,2011-09-16
184,12577125,7649850,1414,1077,9.58E-06,5.26E-02,014,2011-09-16
122,12567572,7848340,1363,1045,1.34E-05,5.28E-02,014,2011-09-16
206,11180890,7048097,1347,1025,1.02E-05,2.92E-02,014,2011-09-16
10,6920791,4001926,784,545,1.08E-05,2.45E-02,014,2011-09-16
55,12580472,5503396,1380,739,1.04E-05,3.47E-02,014,2011-09-16
160,7080423,4429454,787,605,9.65E-06,2.93E-02,014,2011-09-16
34,10183868,6303614,1154,888,9.08E-06,3.63E-02,014,2011-09-16
252,9851487,5507433,1067,789,1.03E-05,4.20E-02,014,2011-09-16
246,6430391,4258869,718,578,8.87E-06,4.22E-02,014,2011-09-16
63,10561026,6669799,1159,867,9.23E-06,3.40E-02,014,2011-09-16
137,4203602,0,492,0,9.94E-06,6.70E-03,014,2011-09-16
247,6179232,0,751,0,4.35E-06,1.06E-02,014,2011-09-16
52,11420422,2796585,1247,385,6.93E-06,2.27E-02,014,2011-09-16
153,11464098,1298515,1230,166,1.03E-05,1.74E-02,014,2011-09-16
34,12575798,4714530,1392,638,4.60E-06,2.99E-02,014,2011-09-16
252,8290658,4788099,936,649,5.00E-06,3.32E-02,014,2011-09-16
59,8448201,5643209,963,778,4.93E-06,2.88E-02,014,2011-09-16
160,7774574,4909430,828,645,4.11E-06,3.16E-02,014,2011-09-16
41,12579487,7751307,1433,1091,9.09E-06,4.05E-02,014,2011-09-16
101,6605265,4307637,739,588,6.18E-06,2.86E-02,014,2011-09-16
145,11579562,1673667,1306,213,5.35E-06,2.06E-02,014,2011-09-16
160,12580457,6984874,1405,950,6.66E-06,4.48E-02,014,2011-09-16
239,8466888,5090932,913,693,8.07E-06,3.62E-02,014,2011-09-16
