run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup,run_num,domains_per_pod,num_pods,region_algo,region_size,min_region,max_region,main_d,second_d,num_mask_bits,assign_algo,q_learning,epsilon,q_penalty,dataset
ex0-run12,3.26139642000198,1764555,12582884,9456177.87691628,2926122.83562131,16.2,8731178.39072848,8076993.78296851,349347,129973875,141613047.940397,401001439.270022,4201291,4897485976,494402976.375,112452304.069839,391538024,738077023,8018838839.625,3218409823.00073,5350777304,15047111079,21.2,23.6,8.6,14.7,9.5,12.5,12.8,36.9,12,128,8,CONTENT-DEFINED,8,4,12,-,-,10,FIRST_FINGERPRINT_7,-,-,-,1
ex0-run13,3.70198096434275,57977,4194304,4171318.7279407,223178.73041632,12.7,3234886.53265045,2515381.0343268,153857,64619564,41069597.1299616,70875939.6317922,303392,1596945433,631611595.5,57466036.4623869,528150622,688655907,8018838839.625,1305267685.30802,6587334888,10216855660,15,13.5,14.2,12.9,13.9,9.9,10.4,12,13,1024,8,FIXED-SIZE,4,-,-,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex0-run14,3.45473081270854,256301,8388602,8320455.3459144,592834.028749182,9.9,5761792.29527208,4002795.57001896,271505,94647006,57226325.3496878,88693757.7474527,1392140,1795776858,807371145.375,68048452.0754924,697120579,868761500,8018838839.625,1261476441.68391,6636430497,10342170078,11.9,10.6,11.2,10.2,10.2,8.5,8.3,8.6,14,1024,8,FIXED-SIZE,8,-,-,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex0-run15,3.36575349171956,312987,6291433,5360186.39012366,1318050.01634956,19.1,4105033.45110025,3388264.13035194,240274,53592634,78423851.7322738,180196212.571233,947166,1283997476,419739670.375,56771422.1057594,344743287,538114358,8018838839.625,1926817454.89987,5862522413,11606633223,21.6,18.2,20.1,22,13.6,15.4,16.7,25.8,15,1024,8,CONTENT-DEFINED,4,2,6,-,-,10,MIN_FINGERPRINT,-,-,-,1
ex0-run16,3.1782235622406,1764555,12582884,9456177.87691628,2926122.83562131,18.9,6998376.56378601,5616696.55160093,349347,87840438,131997347.154321,316671985.229945,4201291,2965361723,425151376.25,47515470.446667,343834389,473806008,8018838839.625,1649081332.13836,5998142828,11240372822,18,18.6,16.7,17.6,16.2,19.3,18.8,25.2,16,1024,8,CONTENT-DEFINED,8,4,12,-,-,10,MIN_FINGERPRINT,-,-,-,1
ex0-run17,3.63926304976145,57977,4194304,4171318.7279407,223178.73041632,12.7,5960671.4295858,4348321.9152485,233032,67060320,75918000.8485207,106884128.913985,481722,1651427916,629595919.75,53756414.3332466,556979419,705341508,8018838839.625,944931795.448026,6358961976,9045237011,10.9,12.9,14,13.3,13.1,12.5,12.6,12.5,17,128,8,FIXED-SIZE,4,-,-,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex0-run18,3.50227404435476,256301,8388602,8320455.3459144,592834.028749182,10,9204609.60458453,6567951.39261877,500531,104227402,91906462.3452722,120745255.289652,2379415,1862850753,803102188,86127395.0462963,677600045,937121665,8018838839.625,1168334665.04837,6218427940,10070694074,9.2,10.6,10.4,10.1,8.9,10.7,10.2,9.6,18,128,8,FIXED-SIZE,8,-,-,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex0-run19,3.44116111199061,312987,6291433,5360186.39012366,1318050.01634956,19.1,5931349.82477876,4982357.37312888,385182,57474408,113541080.915044,226037219.307319,947166,1290285939,418901581.375,51592011.2330601,373329164,527679355,8018838839.625,2666258348.26457,4469745811,13181428351,15.5,10.7,29.1,20.7,13.6,23.2,17.8,23.3,19,128,8,CONTENT-DEFINED,4,2,6,-,-,10,MIN_FINGERPRINT,-,-,-,1
ex0-run20,3.18232698043187,1764555,12582884,9456177.87691628,2926122.83562131,18.9,8680825.91304348,7154173.51130489,491916,87840438,164068313.85422,375700142.179481,4201291,3496401202,424275366.5,94754365.1939498,360670579,637541126,8018838839.625,2568727191.737,4751638811,12218795674,19,20.3,28.4,13.5,13.7,17,11.8,31.5,20,128,8,CONTENT-DEFINED,8,4,12,-,-,10,MIN_FINGERPRINT,-,-,-,1
ex0-run21,3.61078468958537,57977,4194304,4171318.7279407,223178.73041632,12.6,3168604.72699005,1760137.32963615,55307,17397786,39894720.5951493,58578983.1647488,115954,582049121,636889550.125,42358455.9542748,583671597,686851968,8018838839.625,845006638.456345,6818951865,9596119833,12.8,12.8,11.5,12.7,12.2,12.6,14.7,11.4,21,1024,8,FIXED-SIZE,4,-,-,-,-,-,MAX_FINGERPRINT,-,-,-,1
ex0-run22,3.538574163119,256301,8388602,8320455.3459144,592834.028749182,9.7,5682867.38898451,2913945.78699364,271485,26262386,55207152.0800344,74284343.6299759,316028,972220699,825436488.25,65460346.981425,736956896,907070976,8018838839.625,1247145682.3526,6210978365,9844768766,10.3,9,8.4,10.4,9.2,11,11.1,8.1,22,1024,8,FIXED-SIZE,8,-,-,-,-,-,MAX_FINGERPRINT,-,-,-,1
ex0-run23,3.45517231225967,312987,6291433,5360186.39012366,1318050.01634956,19.6,4126088.43396226,3163459.57417625,240274,57718493,80692717.8830189,193663010.929905,2133140,1774559676,410030038.125,44248152.5829771,352259912,496074313,8018838839.625,2768466969.9526,5361850146,13315706296,15.9,13.7,14.4,16.8,15.2,26.3,33.6,21.4,23,1024,8,CONTENT-DEFINED,4,2,6,-,-,10,MAX_FINGERPRINT,-,-,-,1
ex0-run24,3.14610614776611,1764555,12582884,9456177.87691628,2926122.83562131,19.8,7425752.89016018,6838556.90174917,349347,91373304,146797965.02746,387650685.576958,4201291,3736114847,405631751.625,86934981.1109764,295076880,542479571,8018838839.625,4782180386.29525,1379109951,16982718090,20.4,14.3,4.7,23.9,8,23,48.5,16.7,24,1024,8,CONTENT-DEFINED,8,4,12,-,-,10,MAX_FINGERPRINT,-,-,-,1
ex0-run25,3.61926161050796,57977,4194304,4171318.7279407,223178.73041632,12.6,5903715.60813953,4005885.23747601,202473,28492167,74593849.6709302,89032432.1176109,1019300,795646818,634649427.875,39352075.9095323,573729635,712134730,8018838839.625,694055450.348245,6670313536,9060020159,13.5,15.8,10.8,12.5,12.1,12.9,11.5,12.3,25,128,8,FIXED-SIZE,4,-,-,-,-,-,MAX_FINGERPRINT,-,-,-,1
ex0-run26,3.47090169986089,256301,8388602,8320455.3459144,592834.028749182,9.8,8920559.50204082,5745614.04997534,271485,33232636,87279878.5265306,103882262.151023,316028,1123107242,819576404.25,45493365.0607753,754804130,873573496,8018838839.625,700494992.128397,7111921663,9040524151,10.2,11.5,8.9,9.8,9.4,10,8.6,10,26,128,8,FIXED-SIZE,8,-,-,-,-,-,MAX_FINGERPRINT,-,-,-,1
ex0-run27,3.41554232041041,312987,6291433,5360186.39012366,1318050.01634956,19.6,5683152.30034722,4688874.96809438,240274,74191898,111372761.661458,233972887.292083,2171185,2164484484,409186965.625,60750830.1724176,344144269,544930261,8018838839.625,1195642726.33104,6697482942,9605775890,16.5,27.8,12.5,24.5,15.7,22.3,19.9,22.1,27,128,8,CONTENT-DEFINED,4,2,6,-,-,10,MAX_FINGERPRINT,-,-,-,1
ex0-run28,3.143075410525,1764555,12582884,9456177.87691628,2926122.83562131,19.8,8687349.07774799,8367520.20080109,349347,107293179,171985819.616622,417796850.988457,4201291,3736114847,405047650.75,102100630.965165,271569059,537683207,8018838839.625,3074223731.35503,4342474897,14722419188,15.1,27.2,13.5,18.8,17.1,16,17,39.3,28,128,8,CONTENT-DEFINED,8,4,12,-,-,10,MAX_FINGERPRINT,-,-,-,1
ex0-run29,4.4751415292422,57977,4194304,4171318.7279407,223178.73041632,4.4,3223969.88316832,1995225.98526231,137473,28290969,14114567.8145215,15263488.7844711,186625,205201109,1831617889.875,64875473.5633496,1729992343,1914458723,8018838839.625,437242275.2817,7313645514,8414417397,4.4,4.5,4.4,4.1,4.2,4.5,4.5,4.5,29,1024,8,FIXED-SIZE,4,-,-,-,-,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run30,4.35245450735092,256301,8388602,8320455.3459144,592834.028749182,4,5211140.75917431,3068668.86095516,202473,34248536,21019236.801114,22291279.4364839,316028,301796071,1988050199.625,93756906.4771112,1831619897,2086109730,8018838839.625,619794666.278207,7160051711,8934468972,4,3.9,4.1,4,3.9,4.2,4.3,3.8,30,1024,8,FIXED-SIZE,8,-,-,-,-,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run31,3.50410635868708,312987,6291433,5360186.39012366,1318050.01634956,14,3832661.18288591,2675948.31214827,203383,67678667,53817710.3330537,168664671.492173,1221536,3451359695,571066516.25,64925620.8397096,497550465,682380461,8018838839.625,1844154014.93587,5862448604,11199576745,20.5,12.8,11.8,12.7,11.1,14.4,15.5,13.5,31,1024,8,CONTENT-DEFINED,4,2,6,-,-,10,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run32,3.25483642419179,1764555,12582884,9456177.87691628,2926122.83562131,15,6799133.96513471,6001400.10308097,349347,121200452,101665151.690967,334407879.412384,4162087,4836943503,536281691.5,58217534.3630999,474226440,636118851,8018838839.625,3834464648.43898,4104156366,16037003809,16.1,7.1,9.8,13.7,10.5,18.4,27.3,15.6,32,1024,8,CONTENT-DEFINED,8,4,12,-,-,10,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run33,4.3519060810407,57977,4194304,4171318.7279407,223178.73041632,4.5,14107695.4465162,6150353.32867644,354882,40735252,62954573.814524,38405952.155922,4180224,259733952,1796967707.5,47723966.4599489,1709999973,1855613156,8018838839.625,300223232.267435,7628333872,8519225261,4.5,4.3,4.3,4.6,4.5,4.6,4.3,4.6,33,128,8,FIXED-SIZE,4,-,-,-,-,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run34,4.24812607367833,256301,8388602,8320455.3459144,592834.028749182,4.1,15734517.8594378,8210338.61700035,430306,64745012,64408344.0933735,47421051.1994671,3618914,343669692,1958947473.5,77524384.1901189,1837023263,2097320030,8018838839.625,578509076.177906,7340875458,9028351346,4.1,4.2,3.7,4.1,4.4,4,4,4.3,34,128,8,FIXED-SIZE,8,-,-,-,-,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run35,3.41949035724004,312987,6291433,5360186.39012366,1318050.01634956,14.1,6315533.64127424,4481766.57769944,203383,71160321,88851399.8850416,221430045.359116,1221536,3615957337,569976911.125,56781382.3945798,495612254,672186195,8018838839.625,1827250998.21362,5868384936,11170231371,11.8,19.5,10.5,13.2,13.5,15.5,10.4,19.1,35,128,8,CONTENT-DEFINED,4,2,6,-,-,10,FIRST_FINGERPRINT_7,True,0.01,False,1
ex0-run36,3.28049562374751,1764555,12582884,9456177.87691628,2926122.83562131,15.3,8646279.49794239,7890729.6697246,349347,129973875,131997347.154321,383212089.267792,4201291,4848029227,525261479.5,99417257.3765485,423480915,741962413,8018838839.625,3243699191.61117,5101723748,14925557680,20.8,19.1,8.4,14.1,8.7,12,11.8,35.2,36,128,8,CONTENT-DEFINED,8,4,12,-,-,10,FIRST_FINGERPRINT_7,True,0.01,False,1
ex2-run37,4.9393060485522,49819,6291456,4755427.03610082,1506810.82735513,15.5,5940955.82183908,4299614.0189029,121813,40663961,92170561.375,218643208.778464,170965,2757394777,516863156.5,57815891.9296253,426995830,597758118,8018838839.625,2208853647.8553,5224757072,11251922549,13.7,18.3,10.9,14.5,11.2,17.3,16.2,21.5,37,128,8,TTTD,4,2,6,540,270,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex2-run38,4.64180684487025,151655,12582876,7440351.50974252,2893073.57143642,17.3,7666402.69214876,6175656.76452791,238858,61555730,132542790.737603,315945287.448693,4252703,2462596228,463817362.875,48344116.757149,416606666,573242753,8018838839.625,1366524087.06291,6479618143,10274168277,16,19.5,17.7,13.8,22.6,17.2,14.8,17.2,38,128,8,TTTD,8,4,12,540,270,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex2-run39,4.42204451560974,38472,5259263,5228035.42598187,256186.525950576,4.3,14517744.0127827,6846958.03669972,338207,58129277,62957472.8239921,39525167.8845643,5242962,351628264,1845568207.625,95963191.9760477,1732379649,2048409582,8003468732.75,589902127.57568,7455691159,9255293866,4.1,4.5,4.5,4.3,4.2,4.5,4.3,4.3,39,128,8,AE,4,2,6,-,-,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex2-run40,4.38937364021937,78126,7356393,7303218.26139991,446470.791196731,4.1,15498531.8907646,8279179.27456539,403183,48237632,63618501.08143,48036678.1533549,2341846,374690547,1950877701.75,45185288.0468387,1885398446,2001400028,8007978823.625,494777669.423191,7230723946,8654828565,3.7,4.3,4.1,4.2,4.2,4.5,3.8,4.1,40,128,8,AE,8,4,12,-,-,-,FIRST_FINGERPRINT_7,True,0.01,False,1
ex2-run41,4.79978547096252,49819,6291456,4755427.03610082,1506810.82735513,17.2,29182643.34375,12759995.005605,6825953,83971717,501177427.476563,597504051.277976,15091946,4162004209,466922293.5,39690352.5900211,419372096,526232326,8018838839.625,1861142086.69604,6182349481,12053575941,16.4,18.1,14.9,22.9,14.7,17.4,16.5,15.4,41,16,8,TTTD,4,2,6,540,270,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run42,4.63742767969767,151655,12582876,7440351.50974252,2893073.57143642,18.7,26816046.390625,16129284.203676,383606,92817024,501177427.476563,630242581.088114,4824736,2890149515,429056742.25,62380017.4981813,361211555,526391998,8018838839.625,2538780584.31543,4874318929,12251385412,19.6,18.1,13.5,23.3,15.6,14.2,21.9,20.8,42,16,8,TTTD,8,4,12,540,270,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run43,4.1769643386205,38472,5259263,5228035.42598187,256186.525950576,5.1,98932701.578125,14692150.6230383,66065085,135341372,500216795.796875,109895321.444515,302763495,892470412,1582923225.25,63951022.7691874,1471964393,1645230744,8003468732.75,520324334.246505,7203367677,8626026284,5.2,5.1,5.2,5.3,5,4.5,5,5.1,43,16,8,AE,4,2,6,-,-,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run44,4.17473826805751,78126,7356393,7303218.26139991,446470.791196731,4.8,104169004.132813,18574886.2755301,53087792,147613665,500498676.476563,137639612.088088,201643677,900730115,1666704066.125,58796507.8162082,1599884082,1752646143,8007978823.625,345550077.314691,7583020328,8530516698,4.8,4.9,5,4.5,4.7,4.9,5.1,4.7,44,16,8,AE,8,4,12,-,-,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run45,4.71406837304433,49819,6291456,4755427.03610082,1506810.82735513,16.7,5703415.49554896,4261490.4789222,121813,40663961,95179096.0192878,231072841.389261,170965,2772862439,480512755.5,54200274.0662252,411201747,572551724,8018838839.625,2321971951.51292,4995823906,11442777103,15.3,19.2,11.2,15.8,12,18.8,17.4,22.6,45,128,8,TTTD,4,2,6,540,270,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run46,4.59708193540573,151655,12582876,7440351.50974252,2893073.57143642,18.3,7789544.46888889,6180718.23592495,238858,61577842,142557134.926667,329418298.015967,4252703,2469743028,438161876.375,41517104.3946756,393507826,530034855,8018838839.625,1389725821.3802,6455732891,10623860552,16.5,20.7,18.4,14.4,22.7,20,15.9,18,46,128,8,TTTD,8,4,12,540,270,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run47,4.31881606578827,38472,5259263,5228035.42598187,256186.525950576,4.4,14296489.969578,6831477.84724367,338207,58129277,62833905.6545633,39773927.4066838,5242962,351628264,1821015409.875,101334408.829759,1692319829,2025230710,8003468732.75,588107505.596595,7470054468,9244798436,4.1,4.6,4.6,4.4,4.2,4.5,4.4,4.3,47,128,8,AE,4,2,6,-,-,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run48,4.31375084718068,78126,7356393,7303218.26139991,446470.791196731,4.2,15327218.6782522,8171309.44387427,403183,48237632,63618501.08143,47756691.3233231,2341846,374690547,1929313651.125,42312705.979071,1856043085,1984289374,8007978823.625,394439406.652317,7396228228,8379054412,3.8,4.3,4.2,4.3,4.2,4.5,3.9,4.1,48,128,8,AE,8,4,12,-,-,-,FIRST_FINGERPRINT_7,-,-,-,1
ex2-run49,4.70847414334615,49819,6291456,4755427.03610082,1506810.82735513,19.7,25441654.3046875,11547305.4522111,1822722,73300154,501177427.476563,515566358.807428,3809695,2598970858,407066468.875,59058493.8990039,339332497,528533344,8018838839.625,2126539996.72452,3841424061,10299804803,19.9,24.4,26.1,19.1,19.4,22.3,10.3,16.5,49,16,8,TTTD,4,2,6,540,270,-,MIN_FINGERPRINT,-,-,-,1
ex2-run50,4.7237308939298,151655,12582876,7440351.50974252,2893073.57143642,19.7,25824936.0079365,14250723.0504326,3364659,77551343,509132624.738095,626697477.129729,4703279,2812842783,406742742.125,69602035.5770198,329037343,537106637,8018838839.625,2171966943.78256,4990538242,11050535108,20.1,28.4,17.2,17.7,22.6,24.3,13,15.4,50,16,8,TTTD,8,4,12,540,270,-,MIN_FINGERPRINT,-,-,-,1
ex2-run51,3.66198594172796,38472,5259263,5228035.42598187,256186.525950576,12,41737787.0234375,16899986.5860459,16202865,153290109,500216795.796875,303807291.96583,41981246,2320328643,667804592.375,59541314.3811145,576692271,755987474,8003468732.75,927804733.244579,6675012542,9175736754,12,12.7,13.7,12.1,13.6,11.6,10.2,10.3,51,16,8,AE,4,2,6,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex2-run52,3.57796068588893,78126,7356393,7303218.26139991,446470.791196731,10.7,46577696.375,19065216.8901694,8503385,145217238,500498676.476563,303511081.04553,80820507,2078565757,745243142,45737608.7401753,690672862,811834293,8007978823.625,1271394390.43439,6325395167,9972730581,11.3,8.9,11.3,11.2,12.3,9.9,9.5,11.2,52,16,8,AE,8,4,12,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex2-run53,4.76372475624085,49819,6291456,4755427.03610082,1506810.82735513,19.5,5450520.2102649,4559793.28155808,173853,62175880,106209785.955298,231404120.228682,2105602,2557153176,411514275.875,50017579.640593,356369671,483381316,8018838839.625,2451385876.92293,4245578919,11101369858,17.5,20.6,24.1,11.1,20.6,22.2,14.3,23.9,53,128,8,TTTD,4,2,6,540,270,-,MIN_FINGERPRINT,-,-,-,1
ex2-run54,4.62185379266739,151655,12582876,7440351.50974252,2893073.57143642,19.4,7465498.71945701,5811108.01032101,399672,55330897,145137354.563348,325119618.35029,4212678,2602805968,412468804.25,68381851.631085,326569529,522576701,8018838839.625,2614959407.13739,4683773873,13031593217,16,17.2,26.6,15.6,17.2,19.3,14.3,28.5,54,128,8,TTTD,8,4,12,540,270,-,MIN_FINGERPRINT,-,-,-,1
ex2-run55,3.64941211144129,38472,5259263,5228035.42598187,256186.525950576,11.7,6756711.47472257,5490240.97062838,342937,111768399,78949136.6979038,107450327.910903,5242964,1784891690,684961625.75,54025847.3120551,631437340,779299066,8003468732.75,991096448.94983,6067887666,9173160771,9.3,12.5,12.9,12.3,11.8,11.4,11.3,12,55,128,8,AE,4,2,6,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex2-run56,3.53189285993576,78126,7356393,7303218.26139991,446470.791196731,10.3,8578667.07617729,6608009.85089819,404552,112662467,88731067.2977839,112746842.621658,7340071,1608501906,774224703.625,78434491.2855203,654918281,897408289,8007978823.625,1095648227.07581,5914949393,9206888078,9,10,10.9,10.7,9.9,10.1,10,12.1,56,128,8,AE,8,4,12,-,-,-,MIN_FINGERPRINT,-,-,-,1
ex2-run57,4.61424839496613,49819,6291456,4755427.03610082,1506810.82735513,19.9,25139393.1640625,10908697.8001344,7544493,69942617,501177427.476563,466185361.724116,14538109,2526881633,402230290.625,48821999.8024976,333728523,463584164,8018838839.625,2179778027.11838,4247210550,11005170911,24.7,12.4,18.9,18.1,25.3,17.8,25.1,16.5,57,16,8,TTTD,4,2,6,540,270,-,MAX_FINGERPRINT,-,-,-,1
ex2-run58,4.56156690120697,151655,12582876,7440351.50974252,2893073.57143642,20,25012760.859375,15139479.2090526,3217339,96122803,501177427.476563,672212455.089111,5813574,3864641599,400204173.75,79905277.5707104,273045771,497037640,8018838839.625,3005352897.51543,4054198922,11987683760,24.4,16,14.8,23.4,24.9,14.2,28.4,13.1,58,16,8,TTTD,8,4,12,540,270,-,MAX_FINGERPRINT,-,-,-,1
ex2-run59,3.65533047914505,38472,5259263,5228035.42598187,256186.525950576,11.8,42217792.453125,12995436.5167103,13987927,71971279,500216795.796875,232491758.825056,68218914,1163301432,675484679.25,29887879.3039712,629358533,706835599,8003468732.75,887193180.759525,6935751019,9741820423,11,12.8,10.5,11.8,12.5,10.7,13.8,11.7,59,16,8,AE,4,2,6,-,-,-,MAX_FINGERPRINT,-,-,-,1
ex2-run60,3.56604441006978,78126,7356393,7303218.26139991,446470.791196731,10.6,47388882.7734375,15877995.8087294,17386033,112435249,500498676.476563,246376108.74658,44078753,1366309230,758222124.375,73177068.0802293,654565602,870631220,8007978823.625,930783422.731441,6547017057,9610006492,10.6,11,10,9.6,9.9,10.5,11.7,11.2,60,16,8,AE,8,4,12,-,-,-,MAX_FINGERPRINT,-,-,-,1
ex2-run61,4.73367960850398,49819,6291456,4755427.03610082,1506810.82735513,19.7,5225447.81189711,3931036.97345419,192447,49770083,103136190.863344,214762131.322315,2111346,2289566002,406278567.375,52854755.8511249,317301753,480979667,8018838839.625,1048237142.50869,6564874195,9594473864,18.9,29.8,17.3,16.6,16.7,21,17.2,23.6,61,128,8,TTTD,4,2,6,540,270,-,MAX_FINGERPRINT,-,-,-,1
ex2-run62,4.5826227982839,151655,12582876,7440351.50974252,2893073.57143642,19.8,7368669.57954545,6010557.19786488,399672,72277870,145797069.811364,321029954.470948,4240101,2183099415,405276826.875,55345217.8403407,318970031,506960099,8018838839.625,2753124660.13284,4886712932,12389566058,16.6,28.9,11.6,16.4,24.4,18.8,14.6,27.2,62,128,8,TTTD,8,4,12,540,270,-,MAX_FINGERPRINT,-,-,-,1
ex2-run63,3.6481028676033,38472,5259263,5228035.42598187,256186.525950576,11.6,6820273.12946979,4140218.68457794,298064,29215533,78949136.6979038,89214038.4673213,5242937,624906894,691405188.5,48807906.4964666,626745185,766085816,8003468732.75,894700722.318149,6636126351,9319258207,12.2,14.7,10.1,10.1,11.4,12.1,12.2,10.2,63,128,8,AE,4,2,6,-,-,-,MAX_FINGERPRINT,-,-,-,1
