run_name,duration,min_region_bytes,max_region_bytes,mean_region_bytes,std_region_bytes,overall_dedup,mean_domain_phys,std_domain_phys,min_domain_phys,max_domain_phys,mean_domain_logical,std_domain_logical,min_domain_logical,max_domain_logical,mean_pod_phys,std_pod_phys,min_pod_phys,max_pod_phys,mean_pod_logical,std_pod_logical,min_pod_logical,max_pod_logical,pod1 dedup,pod2 dedup,pod3 dedup,pod4 dedup,pod5 dedup,pod6 dedup,pod7 dedup,pod8 dedup
ex1-run117,44.7244542082151,183632,6291456,5612047.94996823,1231431.20831886,10.9,76590846.4267578,19143388.1127116,26163090,197643289,836671949.400391,4826898022.01691,236938104,154863014043,9803628342.625,134604737.207464,9622886596,10063004075,107094009523.25,55448288373.1171,83343080344,244150424472,8.8,9,8.9,8.9,9.5,24.3,8.9,8.7
ex1-run118,42.9364658713341,82739,12582912,10221820.1320273,2936630.26628414,11.1,75418926.4589844,24895168.7105221,19751907,223814591,836671949.400391,4767461500.07221,142907762,152880888221,9653622586.75,146155765.247131,9413273176,9849516397,107094009523.25,54210422616.8644,83425127323,240857396754,9,9.1,8.8,9.1,9.8,25,9.1,8.7
ex1-run119,50.1625616272291,183632,6291456,5612047.94996823,1231431.20831886,8.9,753287635.835938,244494244.156305,417076360,1675277132,6693375595.20312,6134416398.68666,2206349541,41978187891,12052602173.375,618039949.028654,11081122091,13201548768,107094009523.25,12710157787.118,89553423953,123231986533,9,9.8,10.3,8.4,8.5,7.5,10,7.6
ex1-run120,46.5001027385394,82739,12582912,10221820.1320273,2936630.26628414,10.5,640509999.460938,106098081.471146,412565777,1293152886,6693375595.20312,6287562151.01802,1753608586,56129085948,10248159991.375,252666363.804291,9945228186,10580057785,107094009523.25,16722166412.1876,88005688583,140130163671,10.5,11.5,10.7,13.3,8.8,10.1,9.1,9.5
ex1-run121,47.3592431783676,183632,6291456,5612047.94996823,1231431.20831886,10,334190460.238281,69889621.2599133,220216681,986900086,3346687797.60156,4123920014.49233,1014404233,40366580138,10694094727.625,359677673.645241,10360673902,11496589787,107094009523.25,12970075174.7667,89359518759,124400851320,10.1,10.4,8.7,11.6,8.6,9.7,11.6,9.6
ex1-run122,44.8624021728834,82739,12582912,10221820.1320273,2936630.26628414,10.5,319330304.777344,67150925.632058,176069338,900170715,3346687797.60156,4167332608.72683,1622699691,45780066873,10218569752.875,444857877.230743,9656951727,10963657551,107094009523.25,14782552436.0573,91995939443,130181777913,11.2,10.2,12.3,11,9,9.5,9.1,11.4
ex1-run123,46.1127899487813,183632,6291456,5612047.94996823,1231431.20831886,10.1,82555009.4384766,23162615.201334,33609351,337826593,836671949.400391,1930725766.05142,74425515,33979652871,10567041208.125,299892180.884321,10147161261,11023784965,107094009523.25,10775631355.0826,89633121680,124313866807,8.8,10.3,11.4,9.6,10.1,10.6,9.2,11
ex1-run124,42.9570267001788,82739,12582912,10221820.1320273,2936630.26628414,10.4,80294103.5185547,29796633.2730043,13550309,338054988,836671949.400391,1930722964.09099,88281302,35639144283,10277645250.375,252531228.285997,10071884465,10864453951,107094009523.25,7960710106.32927,91966695905,117197649235,11.6,10.1,10.4,9,10,10.2,11.3,10.8
ex1-run125,48.5294415314992,183632,6291456,5612047.94996823,1231431.20831886,10.7,628307034.335938,63888556.1687498,510450386,1075289160,6693375595.20312,14268053394.2235,3932888078,166701192612,10052912549.375,300038361.26055,9736136814,10716430749,107094009523.25,58573432705.6121,84045585891,252000309374,8.6,8.8,8.7,23.5,8.7,8.5,8.6,8.8
ex1-run126,46.2207741379738,82739,12582912,10221820.1320273,2936630.26628414,11,608221898.820313,78744924.6444042,425706807,971462242,6693375595.20312,14136965033.79,3296732759,165131220136,9731550381.125,196791934.832039,9506361767,10085985665,107094009523.25,56527648080.1557,84949142423,246938986977,8.8,9.1,9,24.5,9,8.7,9.3,9.2
ex1-run127,47.398070414861,183632,6291456,5612047.94996823,1231431.20831886,10.6,315158881.078125,45737259.3775797,233239166,775313227,3346687797.60156,10080060322.2001,1730228098,163859693788,10085084194.5,294008289.917177,9736093767,10553994658,107094009523.25,57729271056.5457,83741802633,249854119808,8.8,8.7,8.6,8.8,8.5,23.7,8.6,8.7
ex1-run128,44.8722083330154,82739,12582912,10221820.1320273,2936630.26628414,11,305021272.398437,55276676.9748064,176022051,718727543,3346687797.60156,10022245762.9631,1597548201,162843926643,9760680716.75,235991743.222116,9282924468,10050981233,107094009523.25,56250029052.5213,84501842182,246196829595,9.1,8.8,8.8,9.3,8.7,25,8.8,9.2
ex1-run129,46.4065229614576,183632,6291456,5612047.94996823,1231431.20831886,10.6,79000039.2724609,22989420.9242637,32727165,541864850,836671949.400391,5041156936.57752,215520370,161869235773,10112005026.875,310955191.217784,9573330130,10463743447,107094009523.25,55945189778.8329,83491447815,245343649055,8.5,8.6,8.8,8.5,8.9,23.6,8.5,8.9
ex1-run130,43.1329555273056,82739,12582912,10221820.1320273,2936630.26628414,10.9,76436132.1669922,28752978.5119063,13550309,501625021,836671949.400391,4999259174.5932,162718689,160422451776,9783824917.375,284278206.104377,9421813709,10155841424,107094009523.25,56288715186.2095,82562687586,246227961942,8.8,8.9,8.9,8.8,9.2,24.3,9,9
ex1-run131,47.8352828343709,183632,6291456,5612047.94996823,1231431.20831886,10.9,613929005.359375,181505877.046785,471224622,2570133884,6693375595.20312,15730659673.932,4127415276,183011003071,9822864085.75,811820382.857038,9281924320,11799085225,107094009523.25,65388229233.6292,80355792185,268741127941,8.5,8.7,9,22.8,9.3,8.6,8.6,8.9
ex1-run132,43.5946728547414,82739,12582912,10221820.1320273,2936630.26628414,11.1,605167190.226563,185242459.898004,414577989,2515188838,6693375595.20312,15566471709.4168,3479065131,181118277633,9682675043.625,893562509.923673,9185887742,11849159436,107094009523.25,66258268720.7443,80138592783,270988087525,8.8,8.9,9.1,22.9,9.4,9,8.6,8.7
ex1-run133,45.9281143744787,183632,6291456,5612047.94996823,1231431.20831886,10.9,307800515.890625,126865793.741312,224982970,2256798876,3346687797.60156,11099939431.0256,1810896318,180004607832,9849616508.5,776679145.192598,9178626510,11659356808,107094009523.25,65610782521.6372,78428600519,269287040459,8.7,8.8,9,8.7,8.5,23.1,8.9,8.7
ex1-run134,44.6370969335238,82739,12582912,10221820.1320273,2936630.26628414,11,303402412.386719,132095190.299315,176361782,2257479966,3346687797.60156,11040746815.9338,1481045642,179001694679,9708877196.375,804363071.293346,9266554441,11672230841,107094009523.25,65613846790.6306,80804715891,269405327914,8.8,9,9.2,8.5,8.9,23.1,9.2,8.8
ex1-run135,46.6010070681572,183632,6291456,5612047.94996823,1231431.20831886,10.8,77124602.8564453,63416567.2670833,26677446,2016512831,836671949.400391,5543124927.73434,221059255,177782431829,9871949165.625,780910423.378961,9224813756,11733164967,107094009523.25,62252253156.2148,82505236451,261061823713,8.6,8.9,8.8,9.1,9,22.2,8.6,9
ex1-run136,41.1896826386452,82739,12582912,10221820.1320273,2936630.26628414,11,76022143.2246094,65866253.471917,6683322,2022596980,836671949.400391,5519575253.52882,75146944,176954883568,9730834332.75,646216733.57607,9073811150,11218426334,107094009523.25,61879951474.8031,81149639783,260174335035,8.7,9.2,8.8,9,9,23.2,8.9,9.1
